"RecordsPerSecond","AvgLatency","elapsed","producer"
"28430","1914","5","143"
"40497","5315","10","143"
"79646","5831","15","143"
"75997","6021","20","143"
"88490","5544","25","143"
"67813","5565","30","143"
"92219","6091","35","143"
"93038","5162","40","143"
"102464","3924","45","143"
"95823","2826","50","143"
"108447","1600","55","143"
"87386","102","60","143"
"21638","1933","5","145"
"44645","5576","10","145"
"80640","6053","15","145"
"75676","6310","20","145"
"87362","5789","25","145"
"64142","6061","30","145"
"92728","6490","35","145"
"91783","5612","40","145"
"103030","4457","45","145"
"91892","3458","50","145"
"113873","2020","55","145"
"93285","254","60","145"
"17919","1534","5","147"
"54534","5183","10","147"
"80092","5598","15","147"
"84067","5705","20","147"
"85596","5014","25","147"
"63851","5344","30","147"
"99422","5505","35","147"
"94638","4418","40","147"
"101665","3039","45","147"
"99491","1875","50","147"
"99000","602","55","147"
"80900","50","60","147"
"15966","1114","5","149"
"58647","4778","10","149"
"76543","5292","15","149"
"84357","5535","20","149"
"85981","5064","25","149"
"60418","5650","30","149"
"99605","5671","35","149"
"92638","4829","40","149"
"98225","3407","45","149"
"98970","2217","50","149"
"103753","850","55","149"
"85210","49","60","149"
"17663","1530","5","151"
"62903","4563","10","151"
"78296","4942","15","151"
"89344","4977","20","151"
"84596","4351","25","151"
"61631","5022","30","151"
"101188","4816","35","151"
"91346","4066","40","151"
"97952","2734","45","151"
"97734","1678","50","151"
"97555","449","55","151"
"81135","24","60","151"
"15350","966","5","153"
"64469","4535","10","153"
"76222","4966","15","153"
"85755","5203","20","153"
"86633","4575","25","153"
"62614","5206","30","153"
"105760","4831","35","153"
"92820","3908","40","153"
"95749","2551","45","153"
"100562","1528","50","153"
"94321","349","55","153"
"80058","19","60","153"
"32454","2079","5","155"
"79466","3111","10","155"
"77353","3161","15","155"
"88636","2759","20","155"
"67295","2733","25","155"
"86888","3496","30","155"
"92692","2562","35","155"
"106919","1339","40","155"
"87463","241","45","155"
"80829","44","50","155"
"79093","51","55","155"
"81147","10","60","155"
"50949","1282","5","157"
"76768","1762","10","157"
"85962","1932","15","157"
"87233","1308","20","157"
"62564","1924","25","157"
"105269","1560","30","157"
"91063","646","35","157"
"78919","80","40","157"
"81145","42","45","157"
"80000","44","50","157"
"80168","19","55","157"
"80072","2","60","157"
